Date,AAPL,MSFT,GOOGL,AMZN,NVDA,TSLA,META,SPY
2015-01-02,24.21489143371582,39.85844802856445,26.278945922851562,15.425999641418457,0.4830113351345062,14.620667457580566,77.90580749511719,170.589599609375
2015-01-05,23.532716751098633,39.49192810058594,25.77822494506836,15.10949993133545,0.47485318779945374,14.005999565124512,76.65454864501953,167.50880432128906
2015-01-06,23.53493309020996,38.912288665771484,25.14203453063965,14.76449966430664,0.460456520318985,14.085332870483398,75.62176513671875,165.9310760498047
2015-01-07,23.86495018005371,39.406673431396484,25.068092346191406,14.920999526977539,0.45925676822662354,14.063332557678223,75.62176513671875,167.9987335205078
2015-01-08,24.781890869140625,40.565948486328125,25.155431747436523,15.02299976348877,0.4765327274799347,14.041333198547363,77.6376724243164,170.97991943359375
2015-01-09,24.808473587036133,40.22499084472656,24.84825325012207,14.846500396728516,0.4784524440765381,13.77733325958252,77.20072937011719,169.60975646972656
2015-01-12,24.19717788696289,39.72208786010742,24.666627883911133,14.570500373840332,0.4724538326263428,13.480667114257812,76.18780517578125,168.2811279296875
2015-01-13,24.41201400756836,39.517494201660156,24.9018497467041,14.737000465393066,0.47173404693603516,13.616666793823242,75.91966247558594,167.8077850341797
2015-01-14,24.31898307800293,39.17652130126953,25.10679817199707,14.66349983215332,0.4736535847187042,12.845999717712402,75.7508544921875,166.79469299316406
2015-01-15,23.658967971801758,38.76737976074219,25.011520385742188,14.34749984741211,0.4702942669391632,12.791333198547363,73.53633117675781,165.26675415039062
2015-01-16,23.475128173828125,39.41520690917969,25.331602096557617,14.536999702453613,0.47893235087394714,12.871333122253418,74.65848541259766,167.43411254882812
2015-01-20,24.079788208007812,39.54307174682617,25.30579376220703,14.472000122070312,0.4803719222545624,12.795332908630371,75.71112060546875,167.7911834716797
2015-01-21,24.26361656188965,39.14243698120117,25.824377059936523,14.862500190734863,0.48709040880203247,13.104666709899902,76.2076644897461,168.63819885253906
2015-01-22,24.89484977722168,40.173851013183594,26.66353988647461,15.515999794006348,0.49548858404159546,13.441332817077637,77.11135864257812,171.14601135253906
2015-01-23,25.023313522338867,40.216453552246094,26.8942928314209,15.619500160217285,0.49692830443382263,13.419333457946777,77.29010009765625,170.20765686035156
2015-01-26,25.04988670349121,40.07156753540039,26.634756088256836,15.482999801635742,0.4947688579559326,13.770000457763672,76.96240234375,170.60621643066406
2015-01-27,24.172807693481445,36.36359786987305,25.864076614379883,15.337499618530273,0.4710141122341156,13.732000350952148,75.25432586669922,168.3557891845703
2015-01-28,25.539371490478516,35.11056137084961,25.429367065429688,15.195500373840332,0.46333593130111694,13.291333198547363,75.71112060546875,166.19680786132812
2015-01-29,26.33449935913086,35.80953598022461,25.469066619873047,15.58899974822998,0.4746133089065552,13.680000305175781,77.45891571044922,167.7330322265625
2015-01-30,25.949121475219727,34.437164306640625,26.675945281982422,17.726499557495117,0.4606965184211731,13.573332786560059,75.38341522216797,165.623779296875
2015-02-02,26.274702072143555,35.18727493286133,26.410449981689453,18.223499298095703,0.4707741439342499,14.062666893005371,74.46981048583984,167.67495727539062
2015-02-03,26.279129028320312,35.46004104614258,26.465044021606445,18.177499771118164,0.4825315475463867,14.557332992553711,74.87696075439453,170.09970092773438
2015-02-04,26.48067283630371,35.664634704589844,26.107738494873047,18.237499237060547,0.48373129963874817,14.569999694824219,75.1053695678711,169.45193481445312
2015-02-05,26.6696834564209,36.18459701538086,26.2928409576416,18.694499969482422,0.49164941906929016,14.732666969299316,75.08551025390625,171.16256713867188
2015-02-06,26.445098876953125,36.150489807128906,26.493820190429688,18.714000701904297,0.48949018120765686,14.490667343139648,73.95341491699219,170.68931579589844
2015-02-09,26.620763778686523,36.107872009277344,26.26554298400879,18.527999877929688,0.4890100359916687,14.498666763305664,73.92362213134766,169.92526245117188
2015-02-10,27.13218879699707,36.31244659423828,26.805463790893555,18.649999618530273,0.5026869177818298,14.419333457946777,74.66842651367188,171.735595703125
2015-02-11,27.76813316345215,36.12492752075195,26.698274612426758,18.756999969482422,0.4993278384208679,14.186667442321777,75.97925567626953,171.83522033691406
2015-02-12,28.119455337524414,36.73012161254883,27.09577178955078,18.85849952697754,0.5350797772407532,13.525333404541016,75.70120239257812,173.4877166748047
2015-02-13,28.25732421875,37.39501190185547,27.351341247558594,19.09149932861328,0.5353196263313293,13.584667205810547,75.214599609375,174.2018585205078
2015-02-17,28.424097061157227,37.41218566894531,27.0461483001709,18.771499633789062,0.5369991660118103,13.623332977294922,75.0755615234375,174.4759063720703
2015-02-18,28.621986389160156,37.36923599243164,26.929033279418945,18.668500900268555,0.5307604670524597,13.630666732788086,76.17787170410156,174.49253845214844
2015-02-19,28.561954498291016,37.34349822998047,27.11760711669922,18.950000762939453,0.5322003364562988,14.11400032043457,78.86907196044922,174.36793518066406
2015-02-20,28.79543113708496,37.65254211425781,26.886850357055664,19.183000564575195,0.5360395908355713,14.473999977111816,79.34574127197266,175.4142303466797
2015-02-23,29.57367515563965,37.90150451660156,26.549402236938477,19.006999969482422,0.5317205190658569,13.822667121887207,78.29309844970703,175.38938903808594
